"ref","adv","loc","covid","goaltime","cens","ref_pos","ref_pts","ref_gd","ref_gf","ref_ga","adv_pos","adv_pts","adv_gd","adv_gf","adv_ga","ref_ability","adv_ability"
"West Ham","Man City","Home","Pre",90,0,10,52,-3,52,55,1,98,72,95,23,"Not Top 6","Top 6"
"Burnley","Southampton","Home","Pre",63,1,15,40,-23,45,68,16,39,-20,45,65,"Not Top 6","Not Top 6"
"Crystal Palace","Everton","Home","Pre",90,0,12,49,-2,51,53,8,54,8,54,46,"Not Top 6","Not Top 6"
"Watford","Brighton","Home","Pre",90,0,11,50,-7,52,59,17,36,-25,35,60,"Not Top 6","Not Top 6"
"Leicester","Wolves","Home","Pre",90,0,9,52,3,51,48,7,57,1,47,46,"Not Top 6","Not Top 6"
"Newcastle","Arsenal","Home","Pre",90,0,13,45,-6,42,48,5,70,22,73,51,"Not Top 6","Top 6"
"Man United","Chelsea","Home","Pre",18,1,6,66,11,65,54,3,72,24,63,39,"Top 6","Top 6"
"Arsenal","Burnley","Home","Pre",13,1,5,70,22,73,51,15,40,-23,45,68,"Top 6","Not Top 6"
"Brighton","West Ham","Home","Pre",65,1,17,36,-25,35,60,10,52,-3,52,55,"Not Top 6","Not Top 6"
"Everton","Watford","Home","Pre",10,1,8,54,8,54,46,11,50,-7,52,59,"Not Top 6","Not Top 6"
"Southampton","Liverpool","Home","Pre",83,1,16,39,-20,45,65,2,97,67,89,22,"Not Top 6","Top 6"
"Man City","Tottenham","Home","Pre",20,1,1,98,72,95,23,4,71,28,67,39,"Top 6","Top 6"
"Chelsea","Leicester","Home","Pre",7,1,3,72,24,63,39,9,52,3,51,48,"Top 6","Not Top 6"
"Wolves","Man United","Home","Pre",55,1,7,57,1,47,46,6,66,11,65,54,"Not Top 6","Top 6"
"Brighton","Southampton","Home","Pre",90,0,17,36,-25,35,60,16,39,-20,45,65,"Not Top 6","Not Top 6"
"Man United","Crystal Palace","Home","Pre",89,1,6,66,11,65,54,12,49,-2,51,53,"Top 6","Not Top 6"
"Watford","West Ham","Home","Pre",17,1,11,50,-7,52,59,10,52,-3,52,55,"Not Top 6","Not Top 6"
"Liverpool","Arsenal","Home","Pre",41,1,2,97,67,89,22,5,70,22,73,51,"Top 6","Top 6"
"Bournemouth","Man City","Home","Pre",45,1,14,45,-14,56,70,1,98,72,95,23,"Not Top 6","Top 6"
"Tottenham","Newcastle","Home","Pre",90,0,4,71,28,67,39,13,45,-6,42,48,"Top 6","Not Top 6"
