Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
1,Man City,38,32,2,4,95,23,72,98,328,44,1,683,260
2,Liverpool,38,30,7,1,89,22,67,97,315,37,2,574,226
3,Chelsea,38,21,9,8,63,39,24,72,340,50,0,596,192
4,Tottenham,38,23,2,13,67,39,28,71,375,56,3,536,189
5,Arsenal,38,21,7,10,73,51,22,70,412,72,2,466,170
6,Man United,38,19,9,10,65,54,11,66,433,73,4,526,225
7,Wolves,38,16,9,13,47,46,1,57,409,72,1,474,151
8,Everton,38,15,9,14,54,46,8,54,432,55,4,495,169
9,Leicester,38,15,7,16,51,48,3,52,351,57,5,515,184
10,West Ham,38,15,7,16,52,55,-3,52,331,59,1,441,157
11,Watford,38,14,8,16,52,59,-7,50,433,77,4,434,151
12,Crystal Palace,38,14,7,17,51,53,-2,49,386,58,2,491,146
13,Newcastle,38,12,9,17,42,48,-6,45,422,57,2,444,142
14,Bournemouth,38,13,6,19,56,70,-14,45,339,60,1,447,163
15,Burnley,38,11,7,20,45,68,-23,40,366,75,1,371,115
16,Southampton,38,9,12,17,45,65,-20,39,420,71,3,480,162
17,Brighton,38,9,9,20,35,60,-25,36,463,60,4,365,108
18,Cardiff,38,10,4,24,34,69,-35,34,384,65,1,417,126
19,Fulham,38,7,5,26,34,81,-47,26,423,68,2,453,149
20,Huddersfield,38,3,7,28,22,76,-54,16,420,55,4,400,118
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
